step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
440,PAYMENT,21380.08,C9377618657,0.0,0.0,M4420601509,15301.61,33785.24,0,0
443,TRANSFER,414521.04,C4454610509,0.0,0.0,C9860514478,0.0,413234.38,0,0
359,CASH_IN,15926.5,C6721624899,0.0,0.0,M2005435537,2430.13,16843.09,0,0
259,PAYMENT,48164.96,C7350703272,299732.7,251607.0,M9548167781,0.0,42290.23,0,0
12,CASH_OUT,88605.84,C9698035322,0.0,0.0,C3468602392,0.0,84497.79,0,0
361,CASH_OUT,19845.44,C1393904958,261513.57,241705.02,C2897986885,74064.34,93119.9,0,0
149,CASH_OUT,10661.91,C7264410390,0.0,0.0,C2327325010,0.0,9705.87,0,0
287,CASH_IN,31610.01,C3645419870,98539.45,66914.21,M1212363653,14192.02,45508.91,0,0
581,PAYMENT,113222.01,C3206669513,23515.12,0.0,M2976583551,0.0,105574.6,0,0
62,CASH_IN,53061.0,C8671991800,29658.5,0.0,M9588423020,7732.18,58800.46,0,0
85,CASH_OUT,47813.09,C3328192347,0.0,0.0,C5915113854,48704.86,90485.47,0,0
716,TRANSFER,202899.12,C548005435,5820.12,0.0,C493885705,0.0,182198.62,0,0
298,CASH_IN,2975.52,C333231648,134995.22,131983.47,M8532071653,0.0,2968.2,0,0
287,CASH_OUT,6382.66,C4051427369,8693.4,2305.5,C9433959816,0.0,5450.01,0,0
227,CASH_OUT,11734.43,C1855839903,384975.17,373187.53,C2282034487,0.0,10116.03,0,0
153,CASH_OUT,227034.7,C5722621847,129322.06,0.0,C3969070826,11062.02,230793.89,0,0
220,CASH_OUT,23584.43,C7568342953,0.0,0.0,C6652537775,0.0,23557.98,0,0
551,PAYMENT,14279.33,C3311348667,35589.92,21280.16,M9024428742,8296.82,22079.45,0,0
7,PAYMENT,33688.57,C8698600325,0.0,0.0,M4660814716,150674.35,181451.38,0,0
240,CASH_OUT,115685.69,C9083486199,0.0,0.0,C3603829629,36403.09,139942.42,0,0
154,PAYMENT,11577.96,C4207333538,0.0,0.0,M6058781470,0.0,10171.91,0,0
153,CASH_OUT,54623.51,C9942081088,0.0,0.0,C2896693031,0.0,51692.28,0,0
737,CASH_OUT,105551.27,C717384243,0.0,0.0,C8321985672,467603.24,563984.66,0,0
411,PAYMENT,15248.03,C8096337152,88917.97,73604.86,M5375556476,0.0,14966.77,0,0
17,PAYMENT,8090.82,C9027489117,897541.55,889501.24,M8248429478,0.0,7840.33,0,0
441,CASH_IN,262392.73,C5209102590,0.0,0.0,M408509229,317929.54,541684.6,0,0
533,CASH_OUT,34379.03,C7541684956,0.0,0.0,C8316799804,151165.71,184524.68,0,0
61,PAYMENT,73638.74,C5592743247,12624.78,0.0,M8270827942,71443.48,135754.18,0,0
9,PAYMENT,21285.06,C8303086010,0.0,0.0,M6189504068,1156.14,20379.27,0,0
717,CASH_OUT,17238.47,C8149765620,32275.59,14991.42,C7173466120,26164.87,40917.44,0,0
708,PAYMENT,50772.71,C4036959904,39619.22,0.0,M5685779270,29943.36,79200.75,0,0
730,CASH_OUT,37363.08,C3739597140,64857.9,27499.96,C2819223420,0.0,36204.95,0,0
536,CASH_OUT,45972.64,C6869432143,165598.93,119604.8,C984428448,348970.89,389787.3,0,0
287,TRANSFER,149662.95,C8378860107,856397.82,706802.45,C1757729822,48943.69,193305.96,0,0
612,TRANSFER,13464.1,C4700839488,0.0,0.0,C3884033972,4399.61,17140.49,0,0
386,CASH_IN,405358.31,C2754480428,0.0,0.0,M2873131732,0.0,369650.15,0,0
354,CASH_OUT,17371.33,C336646043,0.0,0.0,C6381228719,0.0,15970.96,0,0
106,CASH_OUT,41615.35,C4098306296,156870.14,115275.61,C1045990663,344788.94,381157.18,0,0
152,PAYMENT,142940.6,C1600451065,72705.72,0.0,M3156759833,136127.92,273805.74,0,0
71,PAYMENT,215701.07,C2003842826,0.0,0.0,M8659202395,24521.16,215847.88,0,0
407,CASH_OUT,18571.79,C3534528218,0.0,0.0,C4387262189,0.0,18512.08,0,0
47,PAYMENT,108143.66,C4361343401,5976.83,0.0,M2193437468,1415466.27,1518365.61,0,0
340,CASH_OUT,21527.85,C6860358729,55515.9,33968.03,C9517921235,359621.19,377935.78,0,0
110,TRANSFER,20619.55,C9712320144,0.0,0.0,C1972574047,0.0,17934.18,0,0
421,CASH_OUT,6893.59,C7682348883,0.0,0.0,C2870396385,0.0,6243.68,0,0
201,PAYMENT,1109.95,C6696965545,129198.53,128123.91,M6603637866,0.0,1074.06,0,0
247,CASH_OUT,4851.64,C3567835198,15586.3,10762.95,C5952581866,0.0,4329.79,0,0
124,PAYMENT,24419.18,C2832921528,226160.39,201752.47,M5526515083,3248.78,25184.02,0,0
545,PAYMENT,630883.76,C2747317906,106261.9,0.0,M4619115778,0.0,585584.55,0,0
243,CASH_OUT,76957.94,C6981506373,0.0,0.0,C3874133491,566681.34,642589.75,0,0
702,TRANSFER,55760.32,C6694330299,3234.08,0.0,C4080994584,2680135.57,2728270.89,0,0
534,CASH_IN,109260.74,C5367442224,0.0,0.0,M5788119311,0.0,100418.23,0,0
119,TRANSFER,274946.8,C8151221331,151377.11,0.0,C1872840747,6880.18,269910.55,0,0
419,CASH_IN,467408.54,C2493705938,24138.17,0.0,M2428979672,371826.23,828306.72,0,0
195,PAYMENT,28683.58,C9669634628,8536.21,0.0,M4591421022,1090696.9,1119341.38,0,0
703,TRANSFER,463845.68,C7492493565,660182.66,196368.49,C9857369700,0.0,407034.46,0,0
612,CASH_OUT,837519.84,C9858309615,25896.95,0.0,C9482752744,25417.34,797128.73,0,0
25,CASH_OUT,59951.62,C3421530220,523477.44,463559.82,C3879343250,0.0,57587.2,0,0
627,CASH_OUT,72564.98,C9551100240,2326.59,0.0,C4643815460,13747.08,76436.73,0,0
456,CASH_OUT,301551.24,C7769304373,0.0,0.0,C2681050057,0.0,270331.0,0,0
185,PAYMENT,2312.02,C2330027477,13400.71,11125.87,M6707444967,0.0,2201.98,0,0
